1944|1945|1946|1947
Thomas Jefferson|George Washington|Abraham Lincoln|John Adams
Mongols|Japanese|Indians|Persians
Romans|Greeks|Egyptians|Mayans
1776|1789|1799|1812
Christopher Columbus|Vasco da Gama|Ferdinand Magellan|Marco Polo
1912|1913|1914|1915
Leonardo da Vinci|Michelangelo|Raphael|Van Gogh
Roman Empire|Greek Empire|Egyptian Empire|Persian Empire
1776|1789|1799|1812
Marie Curie|Rosalind Franklin|Ada Lovelace|Florence Nightingale
Korean War|Vietnam War|World War I|World War II
Alexander Graham Bell|Thomas Edison|Nikola Tesla|Guglielmo Marconi
1989|1990|1991|1992
Neil Armstrong|Buzz Aldrin|Yuri Gagarin|John Glenn
Chinese|Egyptians|Greeks|Romans
1861|1865|1870|1875
Karl Marx|Vladimir Lenin|Joseph Stalin|Friedrich Engels
Iran|Iraq|Turkey|Egypt
1945|1950|1955|1960
Cleopatra|Nefertiti|Hatshepsut|Ankhesenamun
Inca Empire|Aztec Empire|Maya Empire|Roman Empire
14th century|15th century|16th century|17th century
Augustus|Julius Caesar|Nero|Constantine
World War I|World War II|Vietnam War|Korean War
Alexander Fleming|Louis Pasteur|Robert Koch|Joseph Lister
1917|1918|1919|1920
Shah Jahan|Akbar|Babur|Aurangzeb
Indians|Chinese|Arabs|Greeks
1947|1950|1955|1960
Margaret Thatcher|Queen Elizabeth|Indira Gandhi|Golda Meir
Pompeii|Rome|Athens|Carthage
1215|1315|1415|1515
Joseph Stalin|Vladimir Lenin|Mikhail Gorbachev|Nikita Khrushchev
Mongol Empire|Roman Empire|Ottoman Empire|British Empire
1975|1980|1985|1990
Homer|Virgil|Sophocles|Aristotle
India|Korea|Vietnam|Germany
1760|1770|1780|1790
Barack Obama|Bill Clinton|George Washington|Abraham Lincoln
Celts|Romans|Egyptians|Greeks
1095|1195|1295|1395
Johannes Gutenberg|Leonardo da Vinci|Martin Luther|Galileo
Napoleonic Wars|World War I|World War II|Korean War
1346|1446|1546|1646
Nicholas II|Peter the Great|Catherine the Great|Alexander II
Babylonian Empire|Roman Empire|Greek Empire|Persian Empire
1957|1961|1969|1975
Albert Einstein|Isaac Newton|Niels Bohr|Stephen Hawking
Chinese|Indians|Arabs|Greeks
1950|1955|1960|1965
Hatshepsut|Cleopatra|Nefertiti|Ankhesenamun
World War I|World War II|Korean War|Vietnam War
1517|1617|1717|1817
Benjamin Franklin|Thomas Edison|Nikola Tesla|Michael Faraday
Roman Empire|Greek Empire|Egyptian Empire|Persian Empire
1775|1789|1799|1812
Jawaharlal Nehru|Mahatma Gandhi|Indira Gandhi|Rajiv Gandhi
Greek|Roman|Egyptian|Chinese
1914|1918|1939|1945
William Harvey|Louis Pasteur|Robert Koch|Alexander Fleming
American Civil War|World War I|World War II|Vietnam War
1453|1553|1653|1753
Vasco da Gama|Christopher Columbus|Ferdinand Magellan|Marco Polo
Chinese|Indians|Arabs|Greeks
1799|1804|1815|1820
Martin Luther|John Calvin|Henry VIII|John Wesley
Roman Empire|Greek Empire|Persian Empire|Inca Empire
1848|1858|1868|1878
Sandra Day O'Connor|Ruth Bader Ginsburg|Elena Kagan|Sonia Sotomayor
Vietnam War|Korean War|World War I|World War II
476 AD|576 AD|676 AD|776 AD
Christopher Columbus|Leif Erikson|Vasco da Gama|Ferdinand Magellan
Greek|Roman|Egyptian|Persian
1960s|1970s|1980s|1990s
Thomas Edison|Nikola Tesla|Alexander Graham Bell|Guglielmo Marconi
Macedonian Empire|Roman Empire|Persian Empire|Ottoman Empire
1929|1939|1949|1959
Amelia Earhart|Bessie Coleman|Harriet Quimby|Jacqueline Cochran
World War II|World War I|Korean War|Vietnam War
8th-13th century|14th-19th century|20th century|21st century
Vikings|Chinese|Polynesians|Portuguese
Sumerians|Egyptians|Greeks|Romans
1920|1930|1940|1950
Thomas Jefferson|George Washington|Benjamin Franklin|John Adams
Greek Empire|Roman Empire|Persian Empire|Carthaginian Empire
1970s|1980s|1990s|2000s
Valentina Tereshkova|Sally Ride|Mae Jemison|Eileen Collins
American Civil War|World War I|World War II|Vietnam War
1920s|1930s|1940s|1950s
Vasco Núñez de Balboa|Christopher Columbus|Ferdinand Magellan|James Cook
African|Asian|European|South American
15th century|16th century|17th century|18th century
Karl Benz|Henry Ford|Thomas Edison|Nikola Tesla
Japanese Empire|Chinese Empire|Korean Empire|Mongol Empire
1993|2003|2013|2023
Bertha von Suttner|Mother Teresa|Malala Yousafzai|Jane Addams
World War II|World War I|Korean War|Vietnam War
1945|1955|1965|1975
Charles Darwin|Albert Einstein|Isaac Newton|Gregor Mendel
